school_type,grade_level,study_hours,depression,school_ID
1,8,3,3,0
1,7,1,1,0
1,4,1,9,0
1,4,2,7,0
1,6,5,14,0
1,5,3,11,0
1,6,1,13,0
1,4,0,17,0
1,6,0,13,0
1,3,5,12,0
1,6,5,7,0
1,5,9,8,0
1,4,1,19,0
1,4,2,7,0
1,2,4,12,0
1,5,4,2,0
1,10,5,5,0
1,8,3,15,0
1,5,2,4,0
1,5,4,12,0
1,5,7,17,0
1,5,1,7,0
1,8,6,7,0
1,6,5,21,0
1,3,5,9,0
1,5,5,14,0
1,4,1,8,0
1,2,6,11,0
1,2,5,16,0
1,4,6,11,0
1,5,4,12,0
1,5,5,13,0
1,6,2,16,0
1,3,0,7,0
1,2,3,26,0
1,2,2,16,0
1,5,3,19,0
1,7,0,8,0
1,5,1,15,0
1,5,2,12,0
1,3,0,4,0
1,7,1,10,0
1,4,1,23,0
1,4,9,13,0
1,4,2,18,0
1,6,5,4,0
1,5,2,6,0
1,4,4,24,0
1,3,3,9,0
1,7,4,4,0
1,4,4,14,0
1,4,2,11,0
1,6,2,9,0
1,4,10,8,0
1,5,8,5,0
1,7,0,15,0
1,6,2,20,0
1,5,2,10,0
1,3,3,9,0
1,4,5,23,0
1,6,3,16,0
1,6,2,10,0
1,4,6,7,0
1,5,2,10,0
1,6,6,6,0
1,5,3,6,0
1,6,4,15,0
1,4,8,17,0
1,7,3,16,0
1,3,3,10,0
1,1,4,5,0
1,5,4,17,0
1,6,6,5,0
1,2,5,19,0
1,6,4,9,0
1,9,2,7,0
1,5,3,8,0
1,10,1,10,0
1,6,2,17,0
1,4,2,27,0
1,4,2,5,0
1,5,1,9,0
1,1,3,15,0
1,6,2,8,0
1,5,6,1,0
1,5,7,10,0
1,4,3,18,0
1,5,5,6,0
1,3,4,20,0
1,7,1,21,0
1,5,2,11,0
1,5,3,3,0
1,2,5,5,0
1,7,4,12,0
1,8,2,10,0
1,4,0,1,0
1,3,6,20,0
1,4,4,1,0
1,8,5,14,0
1,6,0,4,0
1,5,2,16,0
1,3,4,14,0
1,3,3,10,0
1,1,2,30,0
1,7,5,14,0
1,6,6,8,0
1,3,5,13,0
1,5,3,19,0
1,8,1,12,0
1,1,5,19,0
1,4,6,9,0
1,1,3,3,0
1,5,8,7,0
1,4,2,4,0
1,7,0,12,0
1,3,4,22,0
1,4,5,12,0
1,4,2,9,0
1,4,4,12,0
1,1,1,12,0
1,8,1,13,0
1,5,2,6,0
1,3,3,9,0
1,3,4,11,0
1,1,3,29,0
1,4,0,4,0
1,7,2,13,0
1,3,1,9,0
1,5,2,15,0
1,5,0,11,0
1,3,3,9,0
1,4,0,7,0
1,3,2,14,0
1,4,9,13,0
1,4,3,14,0
1,5,0,11,0
1,3,1,7,0
1,5,1,17,0
1,5,2,6,0
1,3,1,17,0
1,4,7,15,0
1,8,2,14,0
1,1,7,8,0
1,3,5,8,0
1,6,2,14,0
1,9,3,6,0
1,4,1,30,0
1,1,5,15,0
1,8,1,4,0
1,4,0,11,0
1,2,3,3,0
1,5,5,13,0
1,9,0,2,0
1,7,5,9,0
1,3,0,7,0
1,4,3,7,0
1,1,4,7,0
1,6,2,5,0
1,2,3,11,0
1,5,1,13,0
1,7,2,12,0
1,2,6,11,0
1,4,1,7,0
1,3,3,9,0
1,5,2,24,0
1,4,4,15,0
1,4,5,12,0
1,4,4,6,0
1,4,4,12,0
1,4,2,6,0
1,6,4,18,0
1,3,4,20,0
1,5,2,8,0
1,1,0,12,0
1,2,3,18,0
1,6,7,4,0
1,1,5,12,0
1,4,2,10,0
1,3,6,8,0
1,8,0,22,0
1,2,4,7,0
1,5,1,21,0
1,2,2,5,0
1,6,3,6,0
1,5,2,11,0
1,4,3,10,0
1,6,0,11,0
1,6,0,22,0
1,3,2,8,0
1,2,4,7,0
1,9,4,9,0
1,2,1,2,0
1,3,1,5,0
1,4,3,2,0
1,4,4,9,0
1,5,5,11,0
1,2,0,6,0
1,5,2,5,0
1,3,2,11,0
1,4,7,17,0
1,2,3,2,0
1,2,3,5,0
1,1,3,9,0
1,5,4,8,0
1,6,1,3,0
1,1,5,17,0
1,5,5,6,0
1,2,4,3,0
1,5,6,14,0
1,7,1,11,0
1,2,5,3,0
1,6,5,7,0
1,4,2,4,0
1,5,1,2,0
1,7,4,19,0
1,6,1,2,0
1,7,4,15,0
1,5,2,12,0
1,7,2,17,0
1,2,3,15,0
1,6,2,11,0
1,4,1,8,0
1,3,4,14,0
1,4,3,7,0
1,3,0,17,0
1,6,4,6,0
1,6,2,5,0
1,2,3,9,0
1,5,6,15,0
1,4,10,12,0
1,5,2,15,0
1,6,2,12,0
1,5,2,9,0
1,6,3,19,0
1,6,0,11,0
1,4,2,4,0
1,3,7,14,0
1,2,3,9,0
1,5,3,12,0
1,6,0,15,0
1,2,3,8,0
1,5,5,17,0
1,1,1,16,0
1,3,3,8,0
1,4,2,5,0
1,1,3,13,0
1,3,2,10,0
1,6,5,17,0
1,6,7,13,0
1,7,3,7,0
1,5,3,15,0
1,2,3,12,0
1,3,3,17,0
1,5,3,4,0
1,2,6,17,0
1,4,5,13,0
1,2,4,12,0
1,7,3,12,0
1,1,4,20,0
1,7,8,7,0
1,6,2,8,0
1,9,0,4,0
1,6,3,3,0
1,3,2,11,0
1,9,1,7,0
1,7,3,5,0
1,5,2,3,0
1,8,2,12,0
1,4,5,11,0
1,6,3,19,0
1,3,4,8,0
1,3,2,16,0
1,3,3,14,0
1,2,5,21,0
1,4,4,9,0
1,7,5,11,0
1,3,10,13,0
1,5,6,7,0
1,2,4,13,0
1,5,9,15,0
1,3,4,18,0
1,1,2,14,0
1,5,3,14,0
1,5,2,5,0
1,4,0,21,0
1,8,3,12,0
1,7,3,3,0
1,4,6,4,0
1,3,3,6,0
1,5,7,7,0
1,4,4,15,0
1,5,2,22,0
1,4,5,12,0
1,2,4,14,0
1,5,6,8,0
1,2,6,15,0
1,5,0,25,0
1,4,4,3,0
1,4,5,14,0
1,4,2,8,0
1,7,4,7,0
1,6,4,6,0
1,4,3,24,0
1,4,3,13,0
1,4,1,7,0
1,2,1,17,0
1,8,5,16,0
1,5,6,17,0
1,8,2,6,0
1,4,6,15,0
1,6,7,8,0
1,7,4,9,0
1,4,2,11,0
1,5,0,19,0
1,4,4,11,0
1,7,4,7,0
1,7,1,14,0
1,6,2,17,0
1,5,3,12,0
1,4,6,12,0
1,4,4,15,0
1,3,4,14,0
1,5,6,5,0
1,8,9,12,0
1,1,3,7,0
1,3,3,8,0
1,4,4,4,0
1,8,3,14,0
1,3,2,13,0
1,3,1,24,0
1,4,3,5,0
1,1,5,6,0
1,4,4,12,0
1,3,2,4,0
1,5,2,16,0
1,1,4,12,0
1,4,2,17,0
1,3,3,7,0
1,3,5,21,0
1,5,8,10,0
1,7,6,6,0
1,2,2,12,0
1,4,1,19,0
1,8,1,0,0
1,5,3,18,0
1,5,0,2,0
1,5,2,17,0
1,5,5,16,0
1,10,0,4,0
1,3,7,15,0
1,3,2,9,0
1,6,5,4,0
1,6,3,6,0
1,5,1,14,0
1,4,1,9,0
1,8,2,9,0
1,4,5,10,0
1,8,2,2,0
1,4,4,20,0
1,6,3,7,0
1,8,2,17,0
1,4,2,16,0
1,4,5,15,0
1,5,4,5,0
1,5,2,20,0
1,1,0,16,0
1,6,0,8,0
1,5,3,11,0
1,4,3,15,0
1,5,1,7,0
1,3,2,15,0
1,6,4,23,0
1,6,6,9,0
1,5,1,8,0
1,7,1,10,0
1,6,4,5,0
1,4,3,12,0
1,1,5,10,0
1,2,4,9,0
1,2,2,9,0
1,5,0,5,0
1,2,3,7,0
1,6,5,15,0
1,4,5,21,0
1,4,2,10,0
1,7,3,23,0
1,4,3,4,0
1,2,2,5,0
1,4,4,19,0
1,7,3,9,0
1,5,4,17,0
1,7,5,17,0
1,2,2,8,0
1,7,2,2,0
1,4,2,8,0
1,6,2,2,0
1,3,0,5,0
1,9,4,20,0
1,5,4,10,0
1,4,0,11,0
1,6,4,13,0
1,2,2,11,0
1,4,4,4,0
1,6,3,16,0
1,6,3,17,0
1,3,3,0,0
1,5,3,12,0
1,8,2,12,0
1,6,4,15,0
1,5,0,8,0
1,5,3,19,0
1,4,5,11,0
1,2,4,13,0
1,6,4,19,0
1,6,5,18,0
1,4,2,10,0
1,9,5,24,0
1,11,2,13,0
1,7,3,7,0
1,5,3,14,0
1,6,3,8,0
1,5,5,0,0
1,2,5,9,0
1,5,6,12,0
1,4,3,10,0
1,5,2,8,0
1,3,2,11,0
1,6,2,25,0
1,3,4,4,0
1,4,2,11,0
1,3,2,14,0
1,5,0,15,0
1,8,4,14,0
1,4,6,8,0
1,2,5,18,0
1,3,2,11,0
1,5,3,7,0
1,7,2,8,0
1,1,4,12,0
1,6,1,14,0
1,4,5,15,0
1,4,0,11,0
1,4,2,8,0
1,3,5,8,0
1,2,2,22,0
1,5,2,8,0
1,6,2,6,0
1,6,7,3,0
1,5,1,9,0
1,6,6,11,0
1,6,2,19,0
1,4,3,7,0
1,5,6,15,0
1,2,1,27,0
1,3,4,4,0
1,6,3,17,0
1,5,0,8,0
1,9,3,10,0
1,4,2,11,0
1,2,5,23,0
1,2,1,12,0
1,5,6,16,0
1,5,3,8,0
1,2,0,6,0
1,4,2,11,0
1,3,4,19,0
1,3,0,16,0
1,4,3,14,0
1,4,3,15,0
1,5,5,11,0
1,2,5,10,0
1,5,0,9,0
1,9,2,9,0
1,6,4,12,0
1,7,5,16,0
1,1,4,13,0
1,5,3,1,0
1,4,2,11,0
1,5,1,10,0
1,5,3,5,0
1,9,3,18,0
1,5,2,10,0
1,6,0,16,0
1,4,2,8,0
1,7,2,8,0
1,2,0,14,0
1,5,2,11,0
1,6,5,22,0
1,5,4,16,0
1,2,1,24,0
1,6,7,7,0
1,5,1,6,0
1,5,3,12,0
1,4,2,17,0
1,1,3,20,0
1,5,12,18,0
1,1,4,9,0
1,6,3,9,0
1,9,3,8,0
1,2,6,13,0
1,5,2,12,0
1,7,1,26,0
1,5,4,5,0
1,1,3,20,0
1,3,6,8,0
1,2,2,2,0
1,6,2,5,0
1,5,3,13,0
1,4,2,6,0
1,7,2,6,0
1,5,4,5,0
1,5,5,15,0
1,5,4,5,0
1,5,2,13,0
1,2,3,7,0
1,5,5,27,0
1,4,2,11,0
1,5,1,9,0
1,6,5,15,0
1,1,2,9,0
1,2,5,10,0
1,6,1,17,0
1,5,2,6,0
1,4,1,21,0
1,4,4,15,0
1,4,1,15,0
1,4,5,2,0
1,8,5,11,0
1,6,6,4,0
1,9,6,7,0
1,3,5,13,0
1,3,4,11,0
1,3,2,11,0
1,10,1,14,0
1,5,3,14,0
1,5,5,11,0
1,9,5,13,0
1,2,2,23,0
1,10,2,12,0
1,6,4,10,0
1,6,1,1,0
1,1,3,10,0
1,2,7,9,0
1,4,2,6,0
1,4,2,15,0
1,4,3,21,0
1,1,3,12,0
1,2,1,15,0
1,7,5,17,0
1,3,2,2,0
1,3,2,15,0
1,3,3,4,0
1,6,3,9,0
1,5,5,9,0
1,4,5,11,0
1,2,3,16,0
1,3,1,20,0
1,3,2,14,0
1,2,2,14,0
1,5,4,11,0
1,2,2,7,0
1,5,3,3,0
1,2,3,10,0
1,7,6,20,0
1,5,1,13,0
1,3,0,16,0
1,5,2,14,0
1,6,6,10,0
1,4,1,14,0
1,5,9,7,0
1,5,1,9,0
1,4,2,13,0
1,6,2,3,0
1,5,7,9,0
1,3,2,10,0
1,2,5,12,0
1,4,3,7,0
1,5,1,16,0
1,1,5,19,0
1,7,2,13,0
1,6,1,10,0
1,4,3,7,0
1,4,2,6,0
1,6,6,23,0
1,7,6,5,0
1,6,0,9,0
1,9,3,15,0
1,1,1,1,0
1,5,1,26,0
1,2,6,14,0
1,5,1,5,0
1,1,1,12,0
1,3,4,22,0
1,5,3,6,0
1,8,4,6,0
1,4,3,17,0
1,2,5,9,0
1,2,2,7,0
1,3,5,13,0
1,2,4,6,0
1,3,2,9,0
1,4,2,14,0
1,4,4,10,0
1,7,3,11,0
1,4,1,15,0
1,6,3,9,0
1,1,4,12,0
1,2,2,3,0
1,5,3,14,0
1,3,6,12,0
1,3,6,12,0
1,5,5,22,0
1,4,7,7,0
1,3,3,8,0
1,6,2,8,0
1,5,6,12,0
1,6,1,1,0
1,5,3,34,0
1,6,2,14,0
1,5,8,14,0
1,2,4,15,0
1,6,0,12,0
1,6,6,10,0
1,5,3,13,0
1,4,0,12,0
1,2,3,10,0
1,5,5,2,0
1,4,2,3,0
1,3,0,13,0
1,3,1,16,0
1,3,2,7,0
1,5,4,7,0
1,2,6,7,0
1,10,1,6,0
1,3,4,8,0
1,5,1,3,0
1,3,8,20,0
1,6,2,7,0
1,9,2,10,0
1,4,5,5,0
1,7,4,11,0
1,1,3,5,0
1,3,1,9,0
1,6,2,18,0
1,4,3,22,0
1,6,4,21,0
1,5,6,23,0
1,9,7,8,0
1,2,0,6,0
1,4,3,18,0
1,5,1,13,0
1,3,6,7,0
1,4,3,17,0
1,5,1,14,0
1,3,5,18,0
1,3,2,6,0
1,2,0,14,0
1,2,4,2,0
1,4,6,15,0
1,5,3,14,0
1,10,4,7,0
1,6,1,8,0
1,5,3,12,0
1,3,8,5,0
1,4,4,19,0
1,2,5,16,0
1,1,0,9,0
1,3,2,22,0
1,5,4,9,0
1,3,4,12,0
1,4,5,1,0
1,6,3,22,0
1,11,10,12,0
1,6,1,20,0
1,7,4,4,0
1,5,4,10,0
1,5,6,21,0
1,2,5,24,0
1,11,5,9,0
1,6,2,2,0
1,5,4,8,0
1,3,0,7,0
1,2,4,14,0
1,3,5,12,0
1,6,4,21,0
1,1,3,7,0
1,1,1,16,0
1,3,4,12,0
1,5,4,2,0
1,3,2,7,0
1,8,3,21,0
1,6,3,10,0
1,3,3,9,0
1,4,3,8,0
1,5,1,4,0
1,4,2,6,0
1,5,3,9,0
1,8,5,6,0
1,3,8,7,0
1,4,3,5,0
1,5,6,4,0
1,6,4,19,0
1,6,1,8,0
1,4,1,20,0
1,5,1,3,0
1,4,6,2,0
1,5,4,16,0
1,3,2,4,0
1,2,2,18,0
1,5,4,9,0
1,3,4,18,0
1,2,3,23,0
1,6,3,8,0
1,1,3,12,0
1,2,4,19,0
1,5,4,14,0
1,7,7,19,0
1,3,5,19,0
1,5,2,11,0
1,4,1,9,0
1,9,8,15,0
1,5,3,9,0
1,4,4,20,0
1,6,2,17,0
1,4,1,15,0
1,3,2,21,0
1,3,2,4,0
1,3,4,9,0
1,7,1,11,0
1,4,2,13,0
1,3,2,8,0
1,6,3,8,0
1,3,4,15,0
1,5,2,23,0
1,4,4,4,0
1,4,0,7,0
1,5,7,4,0
1,5,4,3,0
1,4,4,18,0
1,6,3,11,0
1,6,4,14,0
1,6,1,0,0
1,3,2,18,0
1,5,5,15,0
1,3,3,11,0
1,5,1,7,0
1,6,1,8,0
1,3,2,15,0
1,8,2,13,0
1,7,5,13,0
1,3,3,13,0
1,7,5,17,0
1,7,4,16,0
1,3,3,14,0
1,7,2,18,0
1,7,7,12,0
1,6,4,6,0
1,6,3,2,0
1,7,3,11,0
1,5,2,11,0
1,3,3,10,0
1,3,1,17,0
1,6,5,5,0
1,5,4,11,0
1,5,4,15,0
1,3,2,18,0
1,4,3,14,0
1,4,1,11,0
1,4,2,14,0
1,6,2,16,0
1,3,0,14,0
1,4,2,9,0
1,4,3,32,0
1,4,4,11,0
1,2,0,12,0
1,2,5,10,0
1,5,3,11,0
1,4,2,25,0
1,2,3,21,0
1,5,2,6,0
1,5,1,8,0
1,3,0,14,0
1,7,2,11,0
1,2,5,12,0
1,5,0,16,0
1,5,2,14,0
1,2,1,28,0
1,1,2,10,0
1,4,7,11,0
1,4,7,17,0
1,3,3,8,0
1,1,2,19,0
1,3,4,2,0
1,4,3,15,0
1,4,4,6,0
1,7,3,14,0
1,3,2,11,0
1,7,5,11,0
1,2,3,12,0
1,2,5,10,0
1,2,1,18,0
